iter	RMSE
160	0.5185210207
161	0.5185080686
162	0.5185028518
163	0.5184941905
164	0.5184850179
165	0.5184799278
166	0.5184713517
167	0.5184616054
168	0.518455798
169	0.5184471892
170	0.5184353727
171	0.5184234744
172	0.5184129271
173	0.5184090925
174	0.5184064414
175	0.5183966839
176	0.518390201
177	0.5183838726
178	0.5183781948
179	0.5183695142
180	0.5183648822
181	0.5183580412
182	0.5183477723
183	0.5183401961
184	0.5183298588
185	0.5183257856
186	0.518315188
187	0.5183064428
188	0.5182965205
189	0.5182906505
190	0.5182867905
191	0.5182778631
192	0.5182720861
193	0.5182642198
194	0.5182504593
195	0.5182406589
196	0.5182337712
197	0.51822548
198	0.5182195557
199	0.5182082051
200	0.5181998647
201	0.5181924893
202	0.518185188
203	0.518180204
204	0.5181731363
205	0.5181672896
206	0.5181597706
207	0.5181580697
208	0.5181521488
209	0.5181442373
210	0.5181363724
211	0.5181335883
212	0.5181254688
213	0.5181142439
214	0.5181066486
215	0.5180994933
216	0.5180932857
217	0.5180856908
218	0.518080201
219	0.5180741242
220	0.5180648173
221	0.5180595074
222	0.518050614
223	0.5180462584
224	0.5180407107
225	0.5180350999
226	0.5180285941
227	0.5180249065
228	0.5180237153
229	0.5180202681
230	0.5180111297
231	0.5180074567
232	0.5180035139
233	0.5179948461
234	0.5179864428
235	0.5179798702
236	0.5179679927
237	0.5179622203
238	0.5179586006
239	0.5179537347
240	0.5179484525
241	0.5179395891
242	0.517930925
243	0.5179243053
244	0.5179193794
245	0.5179140948
246	0.5179038616
247	0.5178957283
248	0.5178872057
249	0.5178814042
250	0.5178738264
251	0.5178643781
252	0.5178588512
253	0.5178528448
254	0.5178386178
255	0.5178304363
256	0.5178274345
257	0.5178203955
258	0.5178145682
259	0.517810511
260	0.5178023342
261	0.5177947827
262	0.517783491
263	0.5177762836
264	0.5177694018
265	0.5177598758
266	0.5177493143
267	0.5177445068
268	0.5177363252
269	0.5177327859
270	0.517724998
271	0.5177187138
272	0.5177101307
273	0.5177048213
274	0.5176981739
275	0.5176865054
276	0.5176755691
277	0.5176716
278	0.5176621983
279	0.5176574198
280	0.5176497434
281	0.5176426855
282	0.5176376227
283	0.5176315028
284	0.5176212981
285	0.517616004
286	0.5176094219
287	0.5176056733
288	0.5175967115
289	0.5175910154
290	0.5175845672
291	0.5175787525
292	0.5175719099
293	0.5175664433
294	0.5175603523
295	0.5175556509
296	0.5175501002
297	0.5175442555
298	0.5175391202
299	0.5175308721
300	0.5175260268
301	0.5175164193
302	0.5175053833
303	0.5174973201
304	0.5174858391
305	0.5174766258
306	0.5174722512
307	0.5174659962
308	0.5174590448
309	0.5174515678
310	0.5174451317
311	0.5174405482
312	0.5174358082
313	0.5174217269
314	0.5174126196
315	0.517406388
316	0.5173972437
317	0.5173874661
318	0.517380121
319	0.5173707393
320	0.5173649718
321	0.5173574802
322	0.5173522863
323	0.5173440203
324	0.517337508
325	0.5173276305
326	0.5173196572
327	0.5173132089
328	0.5173119402
329	0.5173026773
330	0.5172971616
331	0.517292763
332	0.5172833651
333	0.5172737041
334	0.5172654357
335	0.5172611411
336	0.5172565613
337	0.5172531359
338	0.5172433618
339	0.5172359047
340	0.5172353549
341	0.5172253532
342	0.517215182
343	0.5172097626
344	0.5172053208
345	0.5171987908
346	0.5171909766
347	0.5171789405
348	0.5171753918
349	0.5171690262
350	0.5171622792
351	0.5171555986
352	0.5171479912
353	0.5171432813
354	0.5171387534
355	0.5171301378
356	0.5171258771
357	0.5171215601
358	0.5171185841
359	0.5171117984
360	0.5171074983
361	0.5171015304
362	0.5170956123
363	0.5170902929
364	0.5170864452
365	0.5170799579
366	0.5170773981
367	0.517072324
368	0.5170670692
369	0.5170583958
370	0.5170535274
371	0.5170422232
372	0.5170350789
373	0.5170315362
374	0.5170248596
375	0.517020094
376	0.5170144472
377	0.5170116712
378	0.517007647
379	0.5169997058
380	0.5169907859
381	0.5169798874
382	0.5169688305
383	0.5169603297
384	0.5169498578
385	0.5169449948
386	0.5169280925
387	0.516923008
388	0.5169085147
389	0.5168979251
390	0.516891225
391	0.516880562
392	0.5168751417
393	0.5168636837
394	0.5168528123
395	0.5168442849
396	0.5168354485
397	0.5168338101
398	0.5168279708
399	0.5168198905
400	0.5168151415
401	0.5168103388
402	0.5168071892
403	0.5168037594
404	0.5167950245
405	0.5167829905
406	0.5167716694
407	0.5167594469
408	0.5167526948
409	0.516741246
410	0.5167345602
411	0.5167244564
412	0.5167145282
413	0.5167084501
414	0.5166982795
415	0.5166914753
416	0.5166793099
417	0.5166729399
418	0.5166673916
419	0.5166565046
420	0.5166435001
421	0.516633805
422	0.5166280392
423	0.516615783
424	0.5166082609
425	0.5165972461
426	0.5165921515
427	0.5165850225
428	0.5165808822
429	0.5165700838
430	0.5165617033
431	0.5165509752
432	0.5165450747
433	0.5165346949
434	0.5165272526
435	0.5165200555
436	0.516516708
437	0.5165124805
438	0.5165078431
439	0.5165001265
440	0.5164879094
441	0.5164777221
442	0.5164734347
443	0.5164628873
444	0.5164564681
445	0.516451059
446	0.5164450914
447	0.51644161
448	0.5164291094
449	0.5164250435
450	0.5164210861
451	0.5164156553
452	0.5164096144
453	0.5164049243
454	0.5163986608
455	0.5163913458
456	0.516386536
457	0.5163832285
458	0.5163817889
459	0.5163779987
460	0.5163708255
461	0.516362073
462	0.516359238
463	0.516351137
464	0.5163468805
465	0.5163383328
466	0.5163306225
467	0.5163215609
468	0.5163148752
469	0.5163112582
470	0.5163052777
471	0.5162988764
472	0.5162917171
473	0.5162878882
474	0.5162800596
475	0.5162771724
476	0.5162725453
477	0.5162653067
478	0.5162622088
479	0.5162516194
480	0.5162405487
481	0.5162335813
482	0.5162231552
483	0.5162164216
484	0.5162060903
485	0.516196866
486	0.5161852865
487	0.5161788688
488	0.5161720262
489	0.5161642122
490	0.5161554725
491	0.5161489869
492	0.5161461847
493	0.5161403625
494	0.5161295922
495	0.5161185741
496	0.5161140017
497	0.5161079661
498	0.5160961833
499	0.5160902025
500	0.5160844697
501	0.5160764238
502	0.5160673281
503	0.5160611187
504	0.5160504944
505	0.5160394919
506	0.5160270899
507	0.5160224235
508	0.5160138272
509	0.5160013181
510	0.5159967106
511	0.5159915749
512	0.5159862193
513	0.5159791649
514	0.5159697582
515	0.5159636393
516	0.5159565967
517	0.5159523167
518	0.5159487584
519	0.5159412879
520	0.5159293154
521	0.5159259737
522	0.5159180155
523	0.5159074048
524	0.5159001146
525	0.5158894481
526	0.5158880404
527	0.515882686
528	0.5158800758
529	0.5158709612
530	0.5158613214
531	0.5158503677
532	0.515848227
533	0.5158449357
534	0.5158416079
535	0.5158322917
536	0.5158221892
537	0.5158134791
538	0.5158034242
539	0.5157933339
540	0.5157903977
541	0.5157809886
542	0.5157701378
543	0.5157690611
544	0.5157634614
545	0.5157590174
546	0.515749399
547	0.5157399744
548	0.5157323719
549	0.5157287541
550	0.5157256887
551	0.5157183746
552	0.5157100729
553	0.5157005796
554	0.515690206
555	0.5156818932
556	0.515669132
557	0.5156604187
558	0.515650795
559	0.515648853
560	0.5156404598
561	0.5156335695
562	0.5156317782
563	0.515621703
564	0.5156156145
565	0.5156089622
566	0.5156041828
567	0.5155940502
568	0.5155842877
569	0.5155734785
570	0.5155648342
571	0.5155557029
572	0.5155533871
573	0.5155437089
574	0.5155386978
575	0.515528038
576	0.5155232799
577	0.5155169131
578	0.5155108897
579	0.5155014167
580	0.5154894812
581	0.5154878523
582	0.5154786854
583	0.515470494
584	0.5154627495
585	0.515453497
586	0.5154442316
587	0.5154371352
588	0.5154353699
589	0.5154299415
590	0.5154213028
591	0.5154101671
592	0.5153974053
593	0.5153865859
594	0.5153815219
595	0.5153740308
596	0.5153655726
597	0.5153573374
598	0.5153488119
599	0.5153415921
600	0.5153307541
601	0.5153203965
602	0.5153171581
603	0.5153136672
604	0.5153058816
605	0.5152944261
606	0.5152834505
607	0.5152778342
608	0.5152719798
609	0.5152620504
610	0.5152512503
611	0.5152443218
612	0.5152366855
613	0.5152295319
614	0.5152184096
615	0.5152087492
616	0.5152026035
617	0.5151920817
618	0.5151859181
619	0.5151755212
620	0.515167503
621	0.5151579194
622	0.5151563338
623	0.5151476533
624	0.5151375449
625	0.5151284491
626	0.5151222387
627	0.5151158649
628	0.5151079822
629	0.515102329
630	0.5150966543
631	0.5150888943
632	0.5150825225
633	0.5150790215
634	0.5150701932
635	0.5150644325
636	0.5150551019
637	0.5150468669
638	0.5150396168
639	0.5150342069
640	0.5150253585
641	0.5150149912
642	0.5150046997
643	0.5150012777
644	0.5149922466
645	0.5149838892
646	0.5149795332
647	0.5149748074
648	0.5149705439
649	0.5149670979
650	0.5149607736
651	0.5149492007
652	0.5149402947
653	0.5149331138
654	0.5149278381
655	0.5149170403
656	0.514906907
657	0.5149010648
658	0.5148940947
659	0.5148862889
660	0.5148806784
661	0.5148748433
662	0.5148674183
663	0.5148594118
664	0.5148501627
665	0.514840749
666	0.514830087
667	0.5148280814
668	0.5148170849
669	0.5148097271
670	0.5148043335
671	0.5148007803
672	0.5147933656
673	0.5147855307
674	0.5147750302
675	0.5147664257
676	0.5147559854
677	0.51474547
678	0.5147405829
679	0.5147340072
680	0.5147268365
681	0.5147158988
682	0.5147071997
683	0.5147025091
684	0.5146891337
685	0.5146784342
686	0.5146742106
687	0.514667882
688	0.5146572871
689	0.5146474534
690	0.5146425243
691	0.5146377556
692	0.5146316762
693	0.5146202912
694	0.5146120181
695	0.5146044561
696	0.5145969793
697	0.5145893791
698	0.5145801568
699	0.5145736413
700	0.5145609777
701	0.5145535324
702	0.5145478123
703	0.5145407256
704	0.5145294776
705	0.5145222923
706	0.5145176507
707	0.5145084026
708	0.5144975171
709	0.5144903462
710	0.5144837798
711	0.5144758974
712	0.5144678727
713	0.5144571631
714	0.5144483006
715	0.5144419439
716	0.5144348679
717	0.5144274057
718	0.5144177078
719	0.5144086221
720	0.5143974959
721	0.514387062
722	0.5143794518
723	0.5143696441
724	0.5143617559
725	0.5143558401
726	0.5143480357
727	0.5143400195
728	0.514333105
729	0.5143279757
730	0.5143176106
731	0.5143119455
732	0.5143054752
733	0.5142955343
734	0.5142875389
735	0.514278638
736	0.5142692247
737	0.5142661187
738	0.5142600647
739	0.5142489635
740	0.5142414892
741	0.5142325309
742	0.5142193734
743	0.514214607
744	0.5142030038
745	0.5141900214
746	0.5141830277
747	0.514175412
748	0.5141670269
749	0.514160592
750	0.5141536831
751	0.5141412983
752	0.5141337303
753	0.514126407
754	0.5141191879
755	0.51411065
756	0.514104423
757	0.5140992058
758	0.5140883177
759	0.5140779678
760	0.5140667943
761	0.514062323
762	0.5140530235
763	0.5140404066
764	0.5140343732
765	0.51402281
766	0.5140146224
767	0.5140059857
768	0.5140001889
769	0.5139947065
770	0.5139836897
771	0.513975886
772	0.5139673183
773	0.5139598608
774	0.5139530423
775	0.513943289
776	0.5139374298
777	0.5139345607
778	0.5139261938
779	0.5139168562
780	0.5139116021
781	0.5139099409
782	0.5139007336
783	0.5138938763
784	0.513888745
785	0.5138805325
786	0.5138685817
787	0.5138618786
788	0.5138521044
789	0.5138445511
790	0.5138346785
791	0.5138270513
792	0.5138180279
793	0.5138124179
794	0.5138052473
795	0.5137976776
796	0.5137956933
797	0.513791705
798	0.5137825081
799	0.5137687134
800	0.5137618371
801	0.5137551411
802	0.5137514499
803	0.513744772
804	0.5137403846
805	0.5137345918
806	0.5137272918
807	0.5137185472
808	0.5137089027
809	0.5137007219
810	0.5136963904
811	0.5136931675
812	0.5136852677
813	0.513679612
814	0.5136724494
815	0.5136697531
816	0.5136635141
817	0.513655876
818	0.5136484117
819	0.513635842
820	0.5136318269
821	0.513624743
822	0.5136165892
823	0.5136074433
824	0.5135998871
825	0.5135916196
826	0.513585898
827	0.5135797337
828	0.513572647
829	0.5135646862
830	0.5135528942
831	0.5135447982
832	0.5135367063
833	0.5135296983
834	0.5135208639
835	0.5135192882
836	0.5135087436
837	0.5134991661
838	0.5134944726
839	0.513486845
840	0.5134760813
841	0.5134683189
842	0.5134617616
843	0.5134580144
844	0.5134480843
845	0.5134443635
846	0.5134368565
847	0.5134347889
848	0.5134328353
849	0.5134225275
850	0.513416766
851	0.513411343
852	0.5134078469
853	0.5133984013
854	0.5133884381
855	0.5133833727
856	0.5133774186
857	0.513368792
858	0.5133579501
859	0.5133501914
860	0.513337743
861	0.513329482
862	0.5133220936
863	0.513317568
864	0.5133084779
865	0.5132996479
866	0.5132900163
867	0.5132792487
868	0.5132719986
869	0.5132617895
870	0.5132587884
871	0.5132502908
872	0.5132410487
873	0.5132347505
874	0.5132328979
875	0.5132244955
876	0.5132187387
877	0.5132151321
878	0.513207381
879	0.5132001329
880	0.513192424
881	0.513184544
882	0.5131766905
883	0.5131717835
884	0.5131658887
885	0.5131590369
886	0.5131486251
887	0.5131446542
888	0.5131351049
889	0.5131262596
890	0.5131186413
891	0.5131092015
892	0.513099816
893	0.5130926481
894	0.5130795474
895	0.5130698686
896	0.5130636751
897	0.5130532703
898	0.5130463267
899	0.5130358294
900	0.5130284014
901	0.5130182131
902	0.5130105652
903	0.5130045428
904	0.5129975305
905	0.5129858924
906	0.512976611
907	0.5129746072
908	0.5129650951
909	0.512955361
910	0.5129469649
911	0.5129420079
912	0.5129293881
913	0.5129260704
914	0.5129174388
915	0.5129064349
916	0.5129010552
917	0.5128995054
918	0.5128911366
919	0.5128844622
920	0.5128754239
921	0.5128682392
922	0.5128585721
923	0.5128559538
924	0.5128502159
925	0.5128439377
926	0.5128328496
927	0.512825387
928	0.5128197301
929	0.5128129018
930	0.5128071772
931	0.512798665
932	0.5127921472
933	0.5127848699
934	0.5127752611
935	0.5127664379
936	0.5127572756
937	0.5127496446
938	0.5127440674
939	0.5127374756
940	0.5127303846
941	0.5127230638
942	0.5127143183
943	0.5127082614
944	0.5126989197
945	0.5126917667
946	0.5126869485
947	0.5126810436
948	0.5126712149
949	0.5126590898
950	0.5126509801
951	0.5126458604
952	0.5126409316
953	0.5126316002
954	0.5126255302
955	0.5126208551
956	0.5126111958
957	0.5126030535
958	0.5125976735
959	0.5125897563
960	0.5125819447
961	0.5125752333
962	0.5125695464
963	0.5125624484
964	0.5125528882
965	0.5125482901
966	0.5125393944
967	0.5125378451
968	0.5125307335
969	0.5125257013
970	0.5125183784
971	0.5125097246
972	0.5125012295
973	0.5124925545
974	0.5124854884
975	0.5124848435
976	0.5124837379
977	0.5124813321
978	0.5124723698
979	0.5124644022
980	0.5124582504
981	0.5124506838
982	0.512440346
983	0.5124334048
984	0.5124282814
985	0.5124194527
986	0.5124142759
987	0.5124060391
988	0.5124033937
989	0.5123916452
990	0.5123859039
991	0.5123778661
992	0.512370846
993	0.5123642179
994	0.5123573677
995	0.5123551813
996	0.5123476967
997	0.5123398739
998	0.5123371765
999	0.5123358176
